trade_date,ts_code,date,close,open,high,low,pre_close,change,pct_chg,vol,amount
2019/7/23,000016.SH,20190723,2881.0982,2885.7013,2889.39,2871.5072,2881.9038,-0.8056,-0.028,20448748,29522996
2019/7/24,000016.SH,20190724,2906.5502,2894.9357,2923.399,2894.5946,2881.0982,25.452,0.8834,26019871,40437283.3
2019/7/25,000016.SH,20190725,2931.1758,2911.0081,2931.1758,2903.3126,2906.5502,24.6256,0.8472,22933113,34994770.1
2019/7/26,000016.SH,20190726,2939.3547,2918.1073,2943.0682,2918.0135,2931.1758,8.1789,0.279,23521864,33015285.7
2019/7/29,000016.SH,20190729,2930.4891,2936.6432,2938.7345,2922.6755,2939.3547,-8.8656,-0.3016,22372005,31238966.1
2019/7/30,000016.SH,20190730,2944.025,2939.1432,2958.2969,2938.8967,2930.4891,13.5359,0.4619,22696980,34400992.7
2019/7/31,000016.SH,20190731,2912.6612,2931.853,2932.6499,2906.7079,2944.025,-31.3638,-1.0653,23888034,36069124.7
2019/8/1,000016.SH,20190801,2887.8665,2901.1544,2909.4723,2880.3,2912.6612,-24.7947,-0.8513,24271683,34658797.6
2019/8/2,000016.SH,20190802,2843.7704,2837.3685,2852.1151,2831.6579,2887.8665,-44.0961,-1.5269,29943968,42769404.9
2019/8/5,000016.SH,20190805,2786.7196,2823.3457,2828.4806,2785.9035,2843.7704,-57.0508,-2.0062,28350976,40869467.5
2019/8/6,000016.SH,20190806,2760.6799,2736.6812,2771.7889,2718.2123,2786.7196,-26.0397,-0.9344,36941691,55246285.3
2019/8/7,000016.SH,20190807,2747.2491,2771.2382,2773.9376,2747.2491,2760.6799,-13.4308,-0.4865,24588464,35131933.9
2019/8/8,000016.SH,20190808,2786.8715,2771.4483,2790.1429,2768.7137,2747.2491,39.6224,1.4423,29406960,38752525.7
2019/8/9,000016.SH,20190809,2772.1492,2800.4373,2802.8147,2767.1403,2786.8715,-14.7223,-0.5283,25380966,34104733.9
2019/8/12,000016.SH,20190812,2824.8041,2787.4395,2825.0853,2782.7699,2772.1492,52.6549,1.8994,22136997,38630482.2
2019/8/13,000016.SH,20190813,2792.9137,2807.9587,2812.4924,2787.1229,2824.8041,-31.8904,-1.1289,21464034,31203938.4
2019/8/14,000016.SH,20190814,2804.3553,2827.038,2831.3419,2803.8644,2792.9137,11.4416,0.4097,26108221,39001289.7
2019/8/15,000016.SH,20190815,2814.3881,2758.7354,2815.1501,2756.3765,2804.3553,10.0328,0.3578,25284675,35967053.7
2019/8/16,000016.SH,20190816,2824.2258,2817.266,2846.257,2805.813,2814.3881,9.8377,0.3496,24147328,40454103.2
2019/8/19,000016.SH,20190819,2877.2312,2839.2455,2877.4701,2823.8691,2824.2258,53.0054,1.8768,41911167,60087435.5
2019/8/20,000016.SH,20190820,2875.653,2869.1589,2883.5481,2864.7091,2877.2312,-1.5782,-0.0549,29817583,41610605.9
2019/8/21,000016.SH,20190821,2869.2196,2868.6307,2875.0111,2864.8145,2875.653,-6.4334,-0.2237,21637444,31697839.3
2019/8/22,000016.SH,20190822,2878.0047,2878.7299,2881.0557,2862.4404,2869.2196,8.7851,0.3062,20493057,31209995.9
2019/8/23,000016.SH,20190823,2917.3773,2880.5722,2923.9328,2876.0218,2878.0047,39.3726,1.3681,24138057,45464082
2019/8/26,000016.SH,20190826,2863.4793,2869.462,2882.4543,2854.5085,2917.3773,-53.898,-1.8475,26436578,46412408.4
2019/8/27,000016.SH,20190827,2887.2385,2883.4157,2915.8357,2880.9962,2863.4793,23.7592,0.8297,35741368,57183305.4
2019/8/28,000016.SH,20190828,2867.0269,2883.3474,2887.8516,2860.7114,2887.2385,-20.2116,-0.7,23610765,41588186.6
2019/8/29,000016.SH,20190829,2855.4504,2867.7679,2871.6336,2843.282,2867.0269,-11.5765,-0.4038,22386670,37475570.9
2019/8/30,000016.SH,20190830,2872.401,2878.2124,2886.3472,2856.0293,2855.4504,16.9506,0.5936,25922975,43825498.6
2019/9/2,000016.SH,20190902,2894.9575,2871.2873,2902.4089,2866.7493,2872.401,22.5565,0.7853,29753214,45888749.9
2019/9/3,000016.SH,20190903,2892.1821,2897.2856,2900.7638,2878.1,2894.9575,-2.7754,-0.0959,25904982,39972053.3
2019/9/4,000016.SH,20190904,2919.6782,2888.9717,2919.6782,2887.5852,2892.1821,27.4961,0.9507,37647144,53644453.7
2019/9/5,000016.SH,20190905,2955.8399,2938.1378,2988.208,2938.1378,2919.6782,36.1617,1.2386,52852272,79279041.9
2019/9/6,000016.SH,20190906,2981.0728,2974.8017,2981.2431,2955.8164,2955.8399,25.2329,0.8537,31465367,49253544.1
2019/9/9,000016.SH,20190909,2981.5862,3004.8033,3008.6713,2974.2331,2981.0728,0.5134,0.0172,38695798,60012229.5
2019/9/10,000016.SH,20190910,2969.8048,2987.5127,2988.0565,2958.3126,2981.5862,-11.7814,-0.3951,36034678,51347965.8
2019/9/11,000016.SH,20190911,2957.1439,2978.9743,2980.6641,2946.5683,2969.8048,-12.6609,-0.4263,35199335,57420856.1
2019/9/12,000016.SH,20190912,2999.5617,2970.0115,3001.2259,2963.4513,2957.1439,42.4178,1.4344,31824410,52267977.3
2019/9/16,000016.SH,20190916,2982.4481,3003.648,3004.8778,2972.5785,2999.5617,-17.1136,-0.5705,32533939,48002497.9
2019/9/17,000016.SH,20190917,2937.0077,2974.0089,2974.0089,2929.3061,2982.4481,-45.4404,-1.5236,30722495,45651979.1
2019/9/18,000016.SH,20190918,2954.3577,2947.9715,2967.8616,2947.6767,2937.0077,17.35,0.5907,23353923,41683898.3
2019/9/19,000016.SH,20190919,2956.8294,2965.0334,2965.1098,2941.6594,2954.3577,2.4717,0.0837,20942809,34846676.7
